Date,Market,Keyword,Average.Position,CPC,CTR (%),Impressions,Cost
20130214,UK-Market,vioxx attorney,0,0,0.00,0,0
20130214,US-Market,egg credit card,0,0,0.00,0,0
20130214,US-Market,student consolidation loans,1,12.49,2.00,127,32.15
20130214,US-Market,microsoft anti spam,0,0,0.00,0,0
20130214,US-Market,mesothelioma prognosis,0,0,0.00,0,0
20130214,US-Market,second mortgages,1,11.87,2.40,262,75.26
20130214,US-Market,auto century insurance,0,0,0.00,0,0
20130214,US-Market,employee florida leasing,0,0,0.00,0,0
20130214,US-Market,federal consolidation loan,0,0,0.00,0,0
20130214,US-Market,equity loan,1,3.13,1.00,513,16.51
20130214,US-Market,personal injury attorney colorado,0,0,0.00,0,0
20130214,US-Market,accident lawyer michigan,1,8.09,1.50,131,16.17
20130214,US-Market,refinancing with bad credit,0,0,0.00,0,0
20130214,US-Market,home equity line of credit rates,1,29.4,2.70,390,305.9
20130214,US-Market,federal consolidation,0,0,0.00,0,0
20130214,US-Market,non profit debt consolidation,1,89.48,2.10,5222,9621.07
20130214,US-Market,pay per click affiliate,1,10.53,4.80,262,132.89
20130214,US-Market,city hair new removal york,0,0,0.00,0,0
20130214,US-Market,acid reflux disease diet,1,6.38,1.90,1306,158.87
20130214,US-Market,refinance poor credit,1,16.37,2.40,390,156.64
20130214,US-Market,equity loans,1,22.34,4.10,1041,960.36
20130214,US-Market,student loan consolidate,0,0,0.00,0,0
20130214,US-Market,consolidate loans,1,6.6,3.40,653,145.87
20130214,US-Market,secured loans,1,4.85,3.30,390,62.21
20130214,US-Market,criminal lawyer new york,1,62.78,2.40,396,599.91
20130214,US-Market,affiliate per click,0,0,0.00,0,0
20130214,US-Market,chicago personal injury lawyer,1,7.59,0.20,127,2.08
20130214,US-Market,los angeles dui lawyer,0,0,0.00,0,0
20130214,US-Market,att prepaid,1,4.48,1.60,8407,595.84
20130214,US-Market,angeles criminal defense lawyer los,0,0,0.00,0,0
20130214,US-Market,critical illness insurance life,0,0,0.00,0,0
20130214,US-Market,irs lawyer tax,0,0,0.00,0,0
